initials	subj	item	cond	question	response
M V	1	1	a	رئیسم مرا اخراج از کار کرد	5
M V	1	2	a	همکارم نامه ای ارسال به من کرد	6
M V	1	3	a	مدیرعامل کارمندان جدیدی استخدام در شرکت کرد	6
M V	1	4	a	دوستم در مورد این خبر اطلاع به من داد	5
M V	1	5	a	استادم نظرش را در مورد این مقاله اظهار به من کرد	4
M V	1	6	a	دانشمندان موادی استخراج از نفت کردند	4
M V	1	7	a	رستوران جدیدی افتتاح در محل شد	6
M V	1	8	a	دخترم کار خود را آغاز در شرکت کرد	3
M V	1	9	a	پدر مرا صبح زود بیدار از خوا ب کرد	5
M V	1	10	a	دوستم سعی می کرد مرا تحریک با حرفهایش کند	4
M V	1	11	a	نسرین بالاخره توانست تحقق به آرزویش ببخشد	6
M V	1	12	a	همسرم دائم نظرش را تحمیل به من می کرد	6
M V	1	13	a	مشاور آینده روشنی را ترسیم برای من کرد	5
M V	1	14	a	شریکم سود شرکت را تقسیم با من کرد	4
M V	1	15	a	کارگردان انتقادی دریافت در مورد فیلم کرد	3
M V	1	16	a	یگان ویژه اعضای مافیا را محاصره با مهارت کرد	4
M V	1	17	a	او در مراسم ظاهر با اعتماد به نفس شد	2
M V	1	18	a	مجلس قانونی تصویب برای خانواده کرد	4
M V	1	19	a	مربی شانس بازیِ دوباره را دریغ از من کرد	7
M V	1	20	a	آوا فرزندش را ترجیح به مادرش داد	6
M V	1	21	a	ویراستار به سلیقه خود تصرف در کتاب کرد	6
M V	1	22	a	هنگامه پولی واریز برای من کرد	5
M V	1	23	a	من دیروز عیادت از خاله ام کردم	7
M V	1	24	a	پسرخاله ام اعزام به سربازی شد	7
M V	1	25	a	مادر سمیه حسابی تدارک برای مراسم دید	7
M V	1	26	a	مداح آیه ای قرائت از قرآن کرد	5
M V	1	27	a	پدر کودکش را حفاظت از خطر کرد	6
M V	1	28	a	معلم نکات آموزنده ای تدریس به من کرد	5
M V	1	29	a	سعید تصمیم گرفت اقامت در ایران کند	6
M V	1	30	a	پلیس ناآرامی ها را سرکوب به راحتی کرد	5
M V	1	31	a	سیما نگهداری از مادرش می کرد	6
M V	1	32	a	پدربزرگم بعد از سالها همچنان عداوت با برادرش می کرد	5
M V	1	33	a	دانش آموزان آن را در آزمایشگاه تجزیه به موادش کردند	4
M V	1	34	a	شاهین به کمک پدرش تحصیل در آمریکا کرد	6
M V	1	35	a	مدیر جدید قوانینی اعمال در سازمان کرد	4
M V	1	36	a	دشمن شهر را نابود با بی رحمی کرد	4
M V	1	1	b	مریم آرزویی برای من کرد	7
M V	1	2	b	علی آهنگی برای من زد	7
M V	1	3	b	مادرم دعایی برای من کرد	7
M V	1	4	b	حمید تقاضایی از مینا کرد	6
M V	1	5	b	حسن شکایتی از همسایه اش کرد	5
M V	1	6	b	خبرنگار برداشتی از حرفهای من کرد	6
M V	1	7	b	سپیده تحلیلی از مقاله کرد	5
M V	1	8	b	سارا انتظاری از من داشت	6
M V	1	9	b	همکارم سهمی از شرکت برد	7
M V	1	10	b	من خواهشی از مهسا کردم	6
M V	1	11	b	الهام عطری به لباسش زد	7
M V	1	12	b	محسن اتهامی به من زد	7
M V	1	13	b	رضا لبخندی به من زد	6
M V	1	14	b	مژگان تهمتی به من زد	7
M V	1	15	b	همسرم ضربه ای به من زد	7
M V	1	16	b	فرزاد حرفی به من زد	5
M V	1	17	b	معلم توصیه ای به من کرد	7
M V	1	18	b	کوروش نصیحتی به من کرد	7
M V	1	19	b	شبنم پیشنهادی به من داد	7
M V	1	20	b	بهنام راهنمایی به من کرد	5
M V	1	21	b	همسایه ام تذکری به من داد	7
M V	1	22	b	نیما سفارشی به من کرد	7
M V	1	23	b	آدم رباها هشداری به من دادند	7
M V	1	24	b	فرهاد قولی به من داد	7
M V	1	25	b	میترا دروغی به من گفت	6
M V	1	26	b	نیلوفر پیشرفتی در مدرسه کرد	3
M V	1	27	b	مجید لطفی به من کرد	7
M V	1	28	b	استاد صحبتی با شاگردش کرد	6
M V	1	29	b	سینا قراری با ندا گذاشت	7
M V	1	30	b	من حدسی در مورد ستاره زدم	6
M V	1	31	b	پژمان قضاوتی در مورد من کرد	5
M V	1	32	b	کاوه حسی در مورد پریسا کرد	1
M V	1	33	b	حامد استدلالی در مورد مسئله کرد	6
M V	1	34	b	حسین اشتباهی در مورد همسرش کرد	5
M V	1	35	b	نازنین تصمیمی در مورد خودش گرفت	6
M V	1	36	b	مهدی اعتراضی در دادگاه کرد	4
M V	1	1	c	گلناز اتو به لباسش زد	3
M V	1	2	c	شهره اتومبیل با دوستش راند	6
M V	1	3	c	علیرضا اشک برای مادرش می ریخت	7
M V	1	4	c	رئیس امضا برای من کرد	4
M V	1	5	c	نرگس آب از خجالت شد	3
M V	1	6	c	لاستیک باد از حرارت کرد	1
M V	1	7	c	کارگر صیقل به شیشه داد	7
M V	1	8	c	" 	بازیگر گل در سینما کرد"	1
M V	1	9	c	راحله گوش به حرفم داد	7
M V	1	10	c	گوشهایم یخ در سرما بست	2
M V	1	11	c	نوشین زمین با زانو خورد	5
M V	1	12	c	همسایه ام در با عجله زد	5
M V	1	13	c	لباس ها برق از تمیزی می زد	6
M V	1	14	c	مغازه دار تلمبه به دوچرخه زد	6
M V	1	15	c	اتفاقی رخ برای من داد	3
M V	1	16	c	فرشید شاخ از تعجب درآورد	4
M V	1	17	c	درخت سیب شکوفه در باغ داد	6
M V	1	18	c	دهانم قفل از ترس شد	5
M V	1	19	c	ماهرخ مسکن در پاریس گزید	7
M V	1	20	c	مار نیش به من زد	6
M V	1	21	c	من خار در جمع شدم	2
M V	1	22	c	خواهرم عکس را قاب با سلیقه کرد	4
M V	1	23	c	نادر پاکت را قیچی با احتیاط کرد	4
M V	1	24	c	سر تیر تا پایش می کشید	1
M V	1	25	c	نجار قفسه را تراش با دقت داد	5
M V	1	26	c	رویا آتش از عصبانیت گرفت	6
M V	1	27	c	امیرعلی درآمدش را دود با هروئین کرد	4
M V	1	28	c	شادی موج در چشمهایش می زد	3
M V	1	29	c	پلیس راهم را سد با ماشین کرد	5
M V	1	30	c	مجری تپق در برنامه زد	6
M V	1	31	c	مرتضی ماشینش را پارک جلوی در کرد	5
M V	1	32	c	غذای دیروز مزه به من داد	6
M V	1	33	c	خاطره ای نقش در ذهنم بست	6
M V	1	34	c	من چمدان را وزن با ترازو کردم	4
